naam;latijnse_naam;Waterbehoefte;Lichtbehoefte;Groeihoogte_cm;verkoopprijs_eur;standplaats;voorraad;bloeitijd;kleur;huisdier_vriendelijk;overview_image;additional_image1;additional_image2
Jasmijn Star Royal;placeholder;Hoog;Veel licht;98;157.56;Tussenvariant;134;Winter;Roze;Nee;dahlia_virtuoso_vibrant_violet_ecogrande.jpg;salvia_unplugged_red_grande.jpg;cuphea_totally_tempted_vivid_violet_tag.jpg
Jasmijn Star Sunrise;placeholder;Hoog;Schaduw;162;45.42;Tussenvariant;16;Zomer;Wit;Ja;berry_express.jpg;polar_peach_w-thriller_scene.jpg;begonia_space_age_europa_mono.jpg
Jasmijn Star Sunset;placeholder;Laag;Schaduw;42;103.65;Tussenvariant;172;Winter;Groen;Ja;secret_cove.jpg;angelonia_angelface_white_tag_25.jpg;heliotropium_aromagica_purple_mono_0.jpg
Jasmijn Star Snow;placeholder;Hoog;Halfschaduw;234;12.9;Tussenvariant;144;Zomer;Groen;Ja;sunshine_state_w-thriller_scene-4480x6720-a4f0068.jpg;moonlit_lavender_basket.jpg;carex_graceful_grasses_toffee_twist_co-ex_grande25.jpg
Jasmijn Star Emerald;placeholder;Laag;Veel licht;150;125.27;Buitenplanten;100;Jaarrond;Groen;Ja;only_vogue.jpg;supertunia_mini_vista_plum_veined_grande_01.jpg;supertunia_vista_cool_jazz_12821_mono.jpg
Jasmijn Star Ruby;placeholder;Laag;Halfschaduw;30;170.65;Buitenplanten;96;Jaarrond;Blauw;Ja;ipomoea_sweet_caroline_sweetheart_shadowstorm_12823_tag.jpg;supertunia_mini_vista_pink_cloud_12822_mono.jpg;hearth_and_home.jpg
Jasmijn Star Sapphire;placeholder;Gemiddeld;Veel licht;210;172.86;Tussenvariant;71;Zomer;Paars;Ja;cuphea_totally_tempted_frosted_violet_ecogrande.jpg;supertunia_mini_vista_plum_veined_ecogrande_1.jpg;scaevola_stardiva_blue_tag.jpg
Jasmijn Star Moon;placeholder;Gemiddeld;Schaduw;62;9.26;Tussenvariant;77;Winter;Blauw;Nee;berry_express.jpg;secret_cove.jpg;berry_express.jpg
Jasmijn Star Spirit;placeholder;Laag;Halfschaduw;98;38.32;Tussenvariant;157;Jaarrond;Blauw;Ja;fruitful_0.jpg;warm_and_toasty.jpg;portulaca_mojave_mango_mono.jpg
Jasmijn Star Grace;placeholder;Laag;Schaduw;53;83.49;Buitenplanten;150;Lente;Wit;Nee;kindness.jpg;scaevola_stardiva_pink_mono.jpg;tell_it_to_my_heart-925x1200-7c361cb.jpg
Jasmijn Star Harmony;placeholder;Hoog;Veel licht;249;30.37;Kamerplanten;49;Jaarrond;Oranje;Nee;voice_of_an_angel_-4701x4443-1a19375.jpg;salvia_unplugged_white_grande.jpg;salvia_unplugged_red_grande.jpg
Jasmijn Star Wonder;placeholder;Laag;Schaduw;102;174.91;Tussenvariant;55;Jaarrond;Geel;Ja;agastache_maestro_coral_mono.jpg;hold_me_tight_recipe_in_legacy_stone_boston_urn_greige_stone_02.jpg;shade_garden_-cinnamon_toast.png
Jasmijn Star Magic;placeholder;Hoog;Halfschaduw;110;32.4;Tussenvariant;153;Herfst;Rood;Ja;scaevola_stardiva_white_ecogrande.jpg;salvia_unplugged_red_grande.jpg;scaevola_stardiva_pink_co-ex_grande.jpg
Jasmijn Star Velour;placeholder;Laag;Halfschaduw;87;8.74;Tussenvariant;113;Zomer;Roze;Ja;begonia_space_age_europa_co-ex_grande.jpg;begonia_space_age_black_hole_macro_01.jpg;aroma_heaven_0.jpg
Jasmijn Star Crown;placeholder;Laag;Schaduw;103;67.96;Kamerplanten;182;Winter;Wit;Nee;cuphea_totally_tempted_frosted_violet_grande_01.jpg;wholesome.jpg;hold_me_tight_recipe_in_legacy_stone_boston_urn_greige_stone_02.jpg
Jasmijn Star Bloom;placeholder;Hoog;Schaduw;290;127.9;Buitenplanten;9;Herfst;Groen;Nee;emerald_isle_alocasia-4640x6960-85b4e9f.jpg;crisp_and_clear.jpg;gigi.jpg
Jasmijn Star Blush;placeholder;Gemiddeld;Schaduw;254;147.99;Kamerplanten;174;Herfst;Geel;Ja;scaevola_whirlwind_white_12305_mono.jpg;yard_makeover_121-600x400-d9c3bb2.jpg;hold_me_tight_recipe_in_legacy_stone_boston_urn_greige_stone_02.jpg
Jasmijn Star Forest;placeholder;Gemiddeld;Schaduw;163;182.83;Kamerplanten;169;Zomer;Rood;Ja;portulaca_mojave_fuchsia_tag_25.jpg;nemesia_bluebird_mono.jpg;heliotropium_aromagica_purple_mono.jpg
Jasmijn Star Sky;placeholder;Hoog;Schaduw;173;92.16;Kamerplanten;75;Winter;Groen;Nee;supertunia_blue_tiara_macro_02.jpg;dahlia_virtuoso_rad_raz_tag_1.jpg;begonia_space_age_europa_mono.jpg
Jasmijn Star Ocean;placeholder;Hoog;Halfschaduw;144;87.18;Kamerplanten;192;Winter;Oranje;Ja;bordeaux_2025_tag_rgb.jpg;begonia_surefire_cascade_red_12825_mono.jpg;begonia_space_age_triton_mono.jpg
Jasmijn Star Frost;placeholder;Laag;Halfschaduw;129;54.41;Tussenvariant;14;Winter;Paars;Nee;heart_pounding.jpg;cuphea_totally_tempted_richly_red_grande.jpg;begonia_space_age_triton_macro_03.jpg
Jasmijn Star Summer;placeholder;Hoog;Schaduw;234;76.09;Buitenplanten;162;Lente;Oranje;Ja;dahlia_virtuoso_pinkerific_ecogrande.jpg;superbells_magic_double_grapefruit_calibrachoa_2815_tag.jpg;voice_of_an_angel_-4701x4443-1a19375.jpg
Jasmijn Star Autumn;placeholder;Gemiddeld;Halfschaduw;200;26.47;Tussenvariant;180;Winter;Oranje;Ja;coleus_colorblaze_mini_me_chartreuse_tag_0.jpg;portulaca_mojave_mango_ecogrande.jpg;rockapulco_rose_0_0.jpg
Jasmijn Star Winter;placeholder;Gemiddeld;Veel licht;157;23.4;Tussenvariant;61;Herfst;Blauw;Ja;lobularia_white_knight_12827_tag.jpg;dahlia_virtuoso_vibrant_violet_tag.jpg;agastache_maestro_gold_mono.jpg
Jasmijn Star Spring;placeholder;Laag;Schaduw;75;55.44;Buitenplanten;71;Zomer;Paars;Nee;coleus_colorblaze_mini_me_chartreuse_tag.jpg;portulaca_mojave_tangerine_mono25.jpg;salvia_unplugged_white_ecogrande_1.jpg
Jasmijn Star Elite;placeholder;Gemiddeld;Halfschaduw;291;98.17;Kamerplanten;7;Herfst;Geel;Nee;fruitful_0.jpg;scaevola_stardiva_pink_ecogrande.jpg;begonia_space_age_black_hole_macro_01.jpg
Jasmijn Star Prime;placeholder;Laag;Schaduw;142;55.25;Kamerplanten;64;Jaarrond;Paars;Ja;ipomoea_sweet_caroline_sweetheart_shadowstorm_12823_mono.jpg;scaevola_stardiva_white_co-ex_grande.jpg;pink_parrot-1201x1003-c8971dd.jpg
Jasmijn Star Natural;placeholder;Gemiddeld;Veel licht;118;26.67;Tussenvariant;92;Jaarrond;Groen;Nee;dahlia_virtuoso_pinkerific_macro_02.jpg;tell_it_to_my_heart-925x1200-7c361cb.jpg;cuphea_totally_tempted_frosted_violet_grande_01.jpg
Jasmijn Star Botanic;placeholder;Laag;Veel licht;16;127.59;Buitenplanten;82;Jaarrond;Wit;Ja;begonia_space_age_triton_tag.jpg;supertunia_mini_vista_pink_cloud_12822_mono.jpg;supertunia_bermuda_beach_co-ex_grande_25.jpg
Jasmijn Star Lush;placeholder;Gemiddeld;Veel licht;175;24.67;Kamerplanten;26;Zomer;Paars;Ja;bohemian.jpg;love_bug.jpg;lobularia_white_knight_12827_tag.jpg
Jasmijn Star Fresh;placeholder;Gemiddeld;Schaduw;65;176.34;Tussenvariant;11;Jaarrond;Oranje;Ja;secret_cove.jpg;bidens_campfire_red_ember_12816_mono.jpg;cuphea_totally_tempted_richly_red_grande.jpg
Jasmijn Star Zen;placeholder;Gemiddeld;Schaduw;135;157.8;Buitenplanten;199;Winter;Paars;Ja;ipomoea_sweet_caroline_sweetheart_shadowstorm_12823_mono.jpg;love_me_forever.jpg;cuphea_totally_tempted_richly_red_grande.jpg
Jasmijn Star Wild;placeholder;Gemiddeld;Schaduw;166;145.38;Tussenvariant;14;Jaarrond;Paars;Nee;vista_view.jpg;supertunia_bermuda_beach_ecogrande_25.jpg;cuphea_totally_tempted_richly_red_tag.jpg
Jasmijn Star Soft;placeholder;Gemiddeld;Halfschaduw;268;75.35;Kamerplanten;71;Lente;Geel;Ja;pixie_powder_with_thriller_scene.jpg;scaevola_whirlwind_white_12305_mono.jpg;cuphea_totally_tempted_richly_red_mono.jpg
Jasmijn Star Bright;placeholder;Gemiddeld;Veel licht;298;74.56;Buitenplanten;153;Herfst;Blauw;Ja;jamesbrittenia_safari_lava_flow_12817_mono.jpg;salvia_unplugged_white_tag.jpg;secret_cove.jpg
Jasmijn Star Calm;placeholder;Hoog;Veel licht;174;44.13;Tussenvariant;145;Lente;Paars;Ja;begonia_space_age_black_hole_tag.jpg;dahlia_virtuoso_classy_carmine_mono.jpg;ipomoea_upside_key_lime_newtagimage.png
Camelia Variegata Select;placeholder;Hoog;Veel licht;198;101.11;Tussenvariant;159;Winter;Roze;Nee;portulaca_mojave_fuchsia_co-ex_grande_25.jpg;begonia_space_age_europa_mono.jpg;cayenne_pc-1133x1200-95d6dc9.jpg
Camelia Variegata Beauty;placeholder;Hoog;Halfschaduw;230;55.18;Kamerplanten;121;Herfst;Roze;Ja;artisan_attire.jpg;lobularia_white_knight_12827_mono.jpg;cuphea_totally_tempted_richly_red_tag.jpg
Camelia Variegata Princess;placeholder;Hoog;Schaduw;168;139.8;Tussenvariant;87;Winter;Groen;Ja;dahlia_virtuoso_vibrant_violet_grande.jpg;begonia_space_age_europa_macro_02.jpg;hold_me_tight_recipe_in_legacy_stone_boston_urn_greige_stone_02.jpg
Camelia Variegata King;placeholder;Hoog;Halfschaduw;162;85.99;Tussenvariant;32;Herfst;Geel;Nee;lobelia_laguna_royale_pink_12819_tag.jpg;only_vogue.jpg;supertunia_mini_vista_plum_veined_ecogrande_1.jpg
Camelia Variegata Queen;placeholder;Hoog;Halfschaduw;173;76.42;Tussenvariant;166;Jaarrond;Groen;Ja;coleus_colorblaze_mini_me_chartreuse_tag_0.jpg;cuphea_totally_tempted_richly_red_tag.jpg;superbells_magic_double_grapefruit_calibrachoa_2815_tag.jpg
Camelia Variegata Gem;placeholder;Hoog;Schaduw;178;43.1;Tussenvariant;108;Lente;Paars;Ja;lobelia_laguna_royale_lilac_12818_tag.jpg;cuphea_totally_tempted_vivid_violet_tag.jpg;rockapulco_rose_0_0.jpg
Camelia Variegata Delight;placeholder;Gemiddeld;Schaduw;229;130.23;Kamerplanten;152;Winter;Paars;Nee;creative_couture.jpg;cuphea_totally_tempted_richly_red_mono.jpg;dahlia_virtuoso_pinkerific_tag.jpg
Camelia Variegata Flame;placeholder;Gemiddeld;Veel licht;135;174.32;Kamerplanten;9;Winter;Oranje;Ja;eclectic_elegance.jpg;nature_reserve-975x1200-ecebb22.jpg;cuphea_totally_tempted_watermelon_wine_tag.jpg
Camelia Variegata Mist;placeholder;Gemiddeld;Veel licht;254;158.54;Buitenplanten;190;Herfst;Roze;Ja;tropical_twist.jpg;agastache_maestro_gold_macro_02.jpg;send_me_an_angel-900x1200-e17b42d.jpg
Camelia Variegata Pearl;placeholder;Gemiddeld;Schaduw;241;56.6;Tussenvariant;163;Lente;Roze;Nee;love_me_forever.jpg;crisp_and_clean.jpg;cuphea_totally_tempted_frosted_violet_grande_01.jpg
Camelia Variegata Glow;placeholder;Hoog;Halfschaduw;144;180.66;Tussenvariant;195;Herfst;Geel;Ja;angelonia_angelface_white_grande_25.jpg;love_bug.jpg;warm_and_toasty.jpg
Camelia Variegata Charm;placeholder;Hoog;Halfschaduw;203;25.48;Kamerplanten;65;Herfst;Wit;Ja;carex_graceful_grasses_toffee_twist_co-ex_grande25_0.jpg;crisp_and_clear.jpg;dahlia_virtuoso_pinkerific_tag_0.jpg
Camelia Variegata Dream;placeholder;Laag;Veel licht;39;180.77;Buitenplanten;127;Jaarrond;Groen;Ja;cuphea_totally_tempted_watermelon_wine_tag.jpg;angelonia_angelface_white_tag.jpg;carex_graceful_grasses_toffee_twist_ecogrande25.jpg
Camelia Variegata Classic;placeholder;Hoog;Veel licht;76;39.77;Buitenplanten;93;Winter;Paars;Nee;lobelia_laguna_royale_azure_12820_mono.jpg;ipomoea_upside_black_coffee_newtagimage.png;dahlia_virtuoso_vibrant_violet_tag.jpg
Camelia Variegata Royal;placeholder;Gemiddeld;Veel licht;47;111.35;Buitenplanten;107;Zomer;Rood;Nee;dahlia_virtuoso_rad_raz_grande.jpg;angelonia_angelface_white_ecogrande25.jpg;cuphea_totally_tempted_frosted_violet_co-ex_grande_01.jpg
Camelia Variegata Sunrise;placeholder;Hoog;Veel licht;214;126.58;Kamerplanten;77;Zomer;Oranje;Nee;wholesome.jpg;emerald_isle_alocasia-4640x6960-85b4e9f.jpg;cuphea_totally_tempted_frosted_violet_grande_01_0.jpg
Camelia Variegata Sunset;placeholder;Laag;Veel licht;287;176.33;Buitenplanten;134;Jaarrond;Geel;Nee;dahlia_virtuoso_dayglo_yellow_tag.jpg;carex_graceful_grasses_toffee_twist_co-ex_grande25.jpg;last_night.jpg
Camelia Variegata Snow;placeholder;Laag;Schaduw;172;60.33;Tussenvariant;6;Winter;Blauw;Nee;portulaca_mojave_fuchsia_tag_25.jpg;cuphea_totally_tempted_frosted_violet_grande_01.jpg;begonia_space_age_europa_ecogrande.jpg
Camelia Variegata Emerald;placeholder;Gemiddeld;Schaduw;174;137.31;Buitenplanten;77;Herfst;Wit;Ja;scaevola_stardiva_white_mono.jpg;agastache_maestro_gold_mono.jpg;called_your_bluff_0.jpg
Camelia Variegata Ruby;placeholder;Hoog;Halfschaduw;111;30.35;Kamerplanten;64;Zomer;Roze;Ja;supertunia_mini_vista_plum_veined_tag.jpg;utopia.jpg;portulaca_mojave_mango_mono.jpg
Camelia Variegata Sapphire;placeholder;Hoog;Schaduw;289;105.68;Buitenplanten;61;Lente;Wit;Ja;mother_earth-1201x1196-99fe97e.jpg;supertunia_bermuda_beach_tag_25.jpg;heart_to_heart_bottle_rocket.png
Camelia Variegata Moon;placeholder;Gemiddeld;Schaduw;284;58.61;Buitenplanten;119;Winter;Blauw;Nee;cuphea_totally_tempted_watermelon_wine_mono.jpg;dahlia_virtuoso_rad_raz_ecogrande_0.jpg;lobelia_laguna_royale_lilac_12818_mono.jpg
Camelia Variegata Spirit;placeholder;Gemiddeld;Halfschaduw;231;151.79;Tussenvariant;114;Winter;Geel;Nee;coleus_colorblaze_mini_me_chartreuse_ecogrande.jpg;carex_graceful_grasses_toffee_twist_co-ex_grande25.jpg;jamesbrittenia_safari_lava_flow_12817_tag.jpg
Camelia Variegata Grace;placeholder;Hoog;Veel licht;206;166.74;Kamerplanten;85;Lente;Rood;Ja;begonia_space_age_triton_co-ex_grande.jpg;supertunia_bermuda_beach_ecogrande_25.jpg;angelonia_angelface_white_tag_25.jpg
Camelia Variegata Harmony;placeholder;Laag;Schaduw;213;189.76;Buitenplanten;75;Zomer;Paars;Ja;dahlia_virtuoso_dayglo_yellow_grande.jpg;supertunia_bermuda_beach_macro_02_25_0.jpg;supertunia_bordeaux_2026_mono.jpg
Camelia Variegata Wonder;placeholder;Hoog;Schaduw;104;140.35;Kamerplanten;198;Herfst;Groen;Nee;dahlia_virtuoso_rad_raz_mono.jpg;capri_berry-1200x983-1a8c6ff.jpg;eclectic_elegance.jpg
Camelia Variegata Magic;placeholder;Gemiddeld;Halfschaduw;251;35.34;Tussenvariant;121;Winter;Oranje;Ja;begonia_space_age_triton_macro_03.jpg;dahlia_virtuoso_classy_carmine_mono.jpg;aroma_heaven_0.jpg
Camelia Variegata Velour;placeholder;Gemiddeld;Schaduw;104;107.86;Buitenplanten;115;Lente;Blauw;Ja;mother_earth-1201x1196-99fe97e.jpg;quaint_cottage.jpg;dahlia_virtuoso_vibrant_violet_mono.jpg
Camelia Variegata Crown;placeholder;Hoog;Schaduw;274;122.21;Tussenvariant;6;Winter;Blauw;Ja;love_bug.jpg;carex_graceful_grasses_toffee_twist_tag_25.jpg;begonia_space_age_triton_co-ex_grande.jpg
Camelia Variegata Bloom;placeholder;Hoog;Schaduw;162;25.8;Tussenvariant;63;Herfst;Paars;Nee;dahlia_virtuoso_pinkerific_macro_02.jpg;supertunia_bermuda_beach_mono_25.jpg;supertunia_vista_cool_jazz_12821_mono.jpg
Camelia Variegata Blush;placeholder;Laag;Halfschaduw;51;29.98;Tussenvariant;186;Jaarrond;Oranje;Nee;dahlia_virtuoso_pinkerific_tag_0.jpg;carex_graceful_grasses_toffee_twist_tag_25.jpg;supertunia_bermuda_beach_ecogrande_25.jpg
Camelia Variegata Forest;placeholder;Laag;Schaduw;188;99.01;Kamerplanten;176;Zomer;Blauw;Nee;supertunia_vista_cool_jazz_12821_mono.jpg;begonia_space_age_triton_macro_03.jpg;dahlia_virtuoso_pinkerific_ecogrande.jpg
Camelia Variegata Sky;placeholder;Hoog;Halfschaduw;104;66.83;Tussenvariant;40;Herfst;Roze;Ja;carex_graceful_grasses_toffee_twist_ecogrande25.jpg;secret_cove.jpg;dahlia_virtuoso_classy_carmine_mono.jpg
Camelia Variegata Ocean;placeholder;Gemiddeld;Veel licht;293;110.64;Buitenplanten;152;Jaarrond;Oranje;Nee;tropical_twist.jpg;nature_reserve-975x1200-ecebb22.jpg;portulaca_mojave_fuchsia_tag_25.jpg
Camelia Variegata Frost;placeholder;Hoog;Halfschaduw;99;43.56;Buitenplanten;55;Jaarrond;Roze;Ja;phlox_southern_blaze_bright_pink_12828_tag.jpg;dahlia_virtuoso_pinkerific_ecogrande.jpg;angelonia_angelface_wedgwood_pink_mono.jpg
Camelia Variegata Summer;placeholder;Hoog;Veel licht;257;116.58;Kamerplanten;128;Jaarrond;Groen;Ja;hearth_and_home.jpg;salvia_unplugged_red_tag.jpg;portulaca_mojave_mango_co-ex_grande.jpg
Camelia Variegata Autumn;placeholder;Hoog;Halfschaduw;117;37.63;Kamerplanten;127;Herfst;Roze;Ja;cuphea_totally_tempted_vivid_violet_tag.jpg;to_die_for_heart-soul_va-va-violet.png;whisk_me_away.jpg
Camelia Variegata Winter;placeholder;Hoog;Halfschaduw;233;173.0;Buitenplanten;90;Herfst;Blauw;Nee;bordeaux_2025_tag_rgb.jpg;heart_pounding.jpg;dahlia_virtuoso_classy_carmine_mono.jpg
Camelia Variegata Spring;placeholder;Gemiddeld;Schaduw;144;72.35;Tussenvariant;99;Zomer;Roze;Nee;supertunia_mini_vista_pink_cloud_12822_mono.jpg;cuphea_totally_tempted_frosted_violet_grande_01.jpg;dahlia_virtuoso_pinkerific_tag.jpg
Camelia Variegata Elite;placeholder;Hoog;Halfschaduw;213;104.73;Tussenvariant;22;Jaarrond;Blauw;Ja;dahlia_virtuoso_pinkerific_tag_0.jpg;begonia_space_age_europa_mono.jpg;dahlia_virtuoso_dayglo_yellow_ecogrande.jpg
Camelia Variegata Prime;placeholder;Gemiddeld;Schaduw;49;56.32;Kamerplanten;24;Herfst;Geel;Nee;begonia_space_age_black_hole_tag.jpg;cuphea_totally_tempted_watermelon_wine_mono.jpg;begonia_space_age_europa_ecogrande.jpg
Camelia Variegata Natural;placeholder;Laag;Schaduw;46;42.3;Buitenplanten;197;Lente;Paars;Nee;dahlia_virtuoso_vibrant_violet_grande.jpg;lobelia_laguna_royale_azure_12820_mono.jpg;kindness.jpg
Camelia Variegata Botanic;placeholder;Gemiddeld;Halfschaduw;132;187.06;Kamerplanten;173;Jaarrond;Oranje;Nee;love_me_forever.jpg;begonia_space_age_europa_mono.jpg;nemesia_bluebird_tag.jpg
Camelia Variegata Lush;placeholder;Laag;Veel licht;37;146.8;Kamerplanten;132;Zomer;Blauw;Nee;agastache_maestro_gold_macro_02.jpg;portulaca_mojave_tangerine_mono25.jpg;begonia_space_age_triton_mono.jpg
Camelia Variegata Fresh;placeholder;Hoog;Schaduw;146;149.07;Buitenplanten;45;Lente;Wit;Nee;dahlia_virtuoso_dayglo_yellow_ecogrande.jpg;mother_earth-1201x1196-99fe97e.jpg;love_me_forever.jpg
Camelia Variegata Zen;placeholder;Hoog;Veel licht;111;86.13;Tussenvariant;144;Winter;Groen;Nee;supertunia_mini_vista_plum_veined_grande_01.jpg;brushstrokes.jpg;salvia_unplugged_white_ecogrande_1.jpg
Camelia Variegata Wild;placeholder;Laag;Halfschaduw;243;58.42;Buitenplanten;60;Herfst;Geel;Ja;carex_graceful_grasses_toffee_twist_co-ex_grande25_0.jpg;fashion_canvas_0.jpg;mother_earth-1201x1196-99fe97e.jpg
Camelia Variegata Soft;placeholder;Gemiddeld;Schaduw;260;143.39;Tussenvariant;169;Jaarrond;Wit;Ja;heliotropium_aromagica_purple_mono.jpg;supertunia_mini_vista_plum_veined_ecogrande_1.jpg;dahlia_virtuoso_pinkerific_co-ex_grande.jpg
Camelia Variegata Bright;placeholder;Hoog;Veel licht;29;88.32;Buitenplanten;132;Lente;Groen;Ja;gigi.jpg;superbells_magic_double_grapefruit_calibrachoa_2815_mono.jpg;begonia_space_age_europa_mono.jpg
Camelia Variegata Calm;placeholder;Hoog;Schaduw;198;49.69;Buitenplanten;30;Winter;Roze;Nee;bordeaux_2025_tag_rgb.jpg;scaevola_stardiva_pink_tag.jpg;agastache_maestro_gold_mono.jpg
Camelia Compacta Select;placeholder;Hoog;Veel licht;265;65.83;Kamerplanten;192;Herfst;Roze;Nee;angelonia_angelface_white_tag_25.jpg;jamesbrittenia_safari_lava_flow_12817_tag.jpg;superbells_magic_double_grapefruit_calibrachoa_2815_tag.jpg
Camelia Compacta Beauty;placeholder;Laag;Schaduw;239;184.65;Buitenplanten;4;Winter;Paars;Ja;chic_boutique_0.jpg;tropical_twist.jpg;vista_view.jpg
Camelia Compacta Princess;placeholder;Hoog;Schaduw;224;105.95;Buitenplanten;101;Herfst;Geel;Ja;begonia_surefire_cascade_red_12825_tag.jpg;supertunia_vista_cool_jazz_12821_tag.jpg;supertunia_blue_tiara_macro_02.jpg
Camelia Compacta King;placeholder;Hoog;Schaduw;259;133.47;Tussenvariant;72;Jaarrond;Roze;Nee;begonia_space_age_black_hole_mono.jpg;ipomoea_sweet_caroline_medusa_black_12824_tag.jpg;dahlia_virtuoso_classy_carmine_tag.jpg
Camelia Compacta Queen;placeholder;Laag;Veel licht;294;46.6;Tussenvariant;13;Jaarrond;Oranje;Nee;scaevola_whirlwind_white_12305_tag.jpg;begonia_space_age_europa_mono.jpg;begonia_space_age_black_hole_mono.jpg
Camelia Compacta Gem;placeholder;Gemiddeld;Halfschaduw;73;129.35;Tussenvariant;141;Zomer;Rood;Nee;salvia_unplugged_white_tag.jpg;retreat.jpg;supertunia_bermuda_beach_tag_25.jpg
Camelia Compacta Delight;placeholder;Laag;Veel licht;40;136.19;Kamerplanten;167;Herfst;Roze;Ja;jamesbrittenia_safari_lava_flow_12817_tag.jpg;ipomoea_upside_black_coffee_newtagimage.png;lobelia_laguna_royale_azure_12820_tag.jpg
Camelia Compacta Flame;placeholder;Hoog;Halfschaduw;214;108.72;Tussenvariant;10;Lente;Rood;Ja;supertunia_blue_tiara_tag_rgb.jpg;angelonia_angelface_wedgwood_pink_tag.jpg;begonia_space_age_triton_co-ex_grande.jpg
Camelia Compacta Mist;placeholder;Gemiddeld;Halfschaduw;129;122.0;Kamerplanten;86;Herfst;Rood;Nee;jamesbrittenia_safari_lava_flow_12817_mono.jpg;supertunia_vista_cool_jazz_12821_tag.jpg;lobularia_white_knight_12827_mono.jpg
Camelia Compacta Pearl;placeholder;Hoog;Schaduw;198;160.08;Tussenvariant;99;Herfst;Wit;Ja;called_your_bluff_0.jpg;portulaca_mojave_tangerine_ecogrande_25.jpg;artisan_attire.jpg
Camelia Compacta Glow;placeholder;Hoog;Veel licht;81;86.48;Kamerplanten;55;Lente;Geel;Ja;berry_express.jpg;portulaca_mojave_tangerine_mono25.jpg;scaevola_stardiva_white_mono.jpg
Camelia Compacta Charm;placeholder;Laag;Schaduw;161;126.76;Kamerplanten;48;Herfst;Geel;Ja;corner_cafe.jpg;jamesbrittenia_safari_lava_flow_12817_mono.jpg;tell_it_to_my_heart-925x1200-7c361cb.jpg
Camelia Compacta Dream;placeholder;Gemiddeld;Veel licht;258;89.37;Kamerplanten;37;Lente;Oranje;Nee;dahlia_virtuoso_rad_raz_tag_1.jpg;salvia_unplugged_white_mono.jpg;style_oasis.jpg
Camelia Compacta Classic;placeholder;Laag;Halfschaduw;89;57.36;Tussenvariant;67;Zomer;Geel;Ja;lobularia_white_knight_12827_mono.jpg;dahlia_virtuoso_pinkerific_ecogrande.jpg;yard_makeover_121-600x400-d9c3bb2.jpg
Camelia Compacta Royal;placeholder;Laag;Veel licht;41;58.49;Buitenplanten;84;Herfst;Geel;Ja;ipomoea_sweet_caroline_medusa_black_12824_mono.jpg;bidens_campfire_red_ember_12816_tag.jpg;whisk_me_away.jpg
Camelia Compacta Sunrise;placeholder;Laag;Halfschaduw;50;32.96;Kamerplanten;168;Jaarrond;Paars;Ja;called_your_bluff_0.jpg;dahlia_virtuoso_pinkerific_mono.jpg;scaevola_stardiva_white_ecogrande.jpg
Camelia Compacta Sunset;placeholder;Laag;Veel licht;158;144.03;Buitenplanten;125;Zomer;Oranje;Ja;portulaca_mojave_fuchsia_tag_25.jpg;dahlia_virtuoso_dayglo_yellow_ecogrande.jpg;cuphea_totally_tempted_watermelon_wine_grande.jpg
Camelia Compacta Snow;placeholder;Laag;Veel licht;58;100.63;Buitenplanten;151;Herfst;Paars;Ja;portulaca_mojave_fuchsia_tag_25.jpg;agastache_maestro_coral_tag.jpg;dahlia_virtuoso_pinkerific_ecogrande.jpg
Camelia Compacta Emerald;placeholder;Laag;Schaduw;114;114.42;Kamerplanten;106;Winter;Groen;Nee;agastache_maestro_gold_mono.jpg;portulaca_mojave_fuchsia_co-ex_grande_25.jpg;voice_of_an_angel_-4701x4443-1a19375.jpg
Camelia Compacta Ruby;placeholder;Laag;Veel licht;112;57.05;Buitenplanten;126;Jaarrond;Groen;Ja;bidens_campfire_red_ember_12816_mono.jpg;jamesbrittenia_safari_lava_flow_12817_tag.jpg;agastache_maestro_gold_mono.jpg
Camelia Compacta Sapphire;placeholder;Hoog;Halfschaduw;191;81.54;Buitenplanten;45;Lente;Paars;Nee;retreat.jpg;scaevola_stardiva_pink_co-ex_grande.jpg;lobelia_laguna_royale_pink_12819_mono.jpg
Camelia Compacta Moon;placeholder;Hoog;Halfschaduw;151;135.98;Tussenvariant;39;Herfst;Geel;Nee;chic_boutique_0.jpg;guaranteed_success.jpg;crisp_and_clear.jpg
Camelia Compacta Spirit;placeholder;Hoog;Veel licht;91;41.81;Buitenplanten;44;Jaarrond;Paars;Ja;cuphea_totally_tempted_frosted_violet_tag.jpg;dahlia_virtuoso_pinkerific_macro_02.jpg;salvia_unplugged_white_mono.jpg
Camelia Compacta Grace;placeholder;Gemiddeld;Schaduw;127;7.81;Kamerplanten;152;Zomer;Paars;Nee;begonia_space_age_triton_ecogrande.jpg;agastache_maestro_gold_mono.jpg;called_your_bluff_0.jpg
Camelia Compacta Harmony;placeholder;Hoog;Veel licht;66;168.98;Kamerplanten;134;Zomer;Wit;Ja;supertunia_mini_vista_plum_veined_ecogrande_1.jpg;supertunia_mini_vista_plum_veined_ecogrande_1.jpg;cuphea_totally_tempted_frosted_violet_mono_0.jpg
Camelia Compacta Wonder;placeholder;Gemiddeld;Schaduw;185;69.36;Tussenvariant;78;Lente;Geel;Ja;supertunia_mini_vista_plum_veined_tag.jpg;begonia_space_age_europa_ecogrande.jpg;crisp_and_clean.jpg
